,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
1462,5034,655.0,A,150000.0,100.0,,,,,,,,,3.65,A,69.0,,Verified,A,N,,0.0,A,0.0,A,,,3.0,C,146.0,A,198839.32666667,A,8777.2666666667,A,0.04,A,0.0,A,0.0,A,0.0,A,1.0,A,198839.32666667,,preferred,,655.0,A,150000.0,100.0,4666.0,Paid in full
427,2609,542.0,C,35000.0,100.0,,,,,,,,,25.9,A,,,Home,A,N,,0.0,A,0.0,A,,,0.85714285714286,A,29.714285714286,A,81253.714285714,A,6892.5714285714,A,0.08,A,0.0,A,0.0,A,0.0,A,1.0,A,81253.714285714,,preferred,,542.0,C,35000.0,100.0,2724.0,Paid in full
1435,4522,500.0,C,35000.0,100.0,,,,,,,,,6.98,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,1.0,A,23.75,A,103631.675,A,5852.5125,A,0.06,A,0.0,A,0.0,A,0.0,A,2.0,C,103631.675,,preferred,,500.0,C,35000.0,100.0,4468.0,Default
1521,5038,655.0,A,150000.0,100.0,,,,,,,,,3.65,A,69.0,,Verified,A,N,,0.0,A,0.0,A,,,3.0,C,146.0,A,198839.32666667,A,8777.2666666667,A,0.04,A,0.0,A,0.0,A,0.0,A,2.0,C,198839.32666667,,preferred,,655.0,A,150000.0,100.0,4666.0,Paid in full
339,1928,616.0,A,150000.0,80.0,613.0,A,150000.0,20.0,,,,,20.53,A,69.0,,Verified,A,N,,0.0,A,0.0,A,,,0.4,A,67.2,A,49269.8,A,2950.6,A,0.06,A,0.0,A,0.0,A,0.0,A,1.0,A,49269.8,,preferred,,615.0,A,150000.0,100.0,1971.0,Paid off with renewal
31,192,652.0,A,150000.0,100.0,,,,,,,,,4.71,A,,,Home,A,N,,0.0,A,0.0,A,,,3.25,C,10.0,R,990199.79,A,28797.065,A,0.03,A,0.0,A,0.0,A,0.0,A,1.0,A,990199.79,,preferred,,652.0,A,150000.0,,201.0,Default
1431,4477,590.0,B,100000.0,100.0,,,,,,,,,0.03,D,6.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,17.666666666667,A,83851.5,A,13550.076666667,A,0.16,A,0.0,A,0.0,A,0.0,A,0.0,A,83851.5,,preferred,,590.0,B,100000.0,100.0,4410.0,Paid in full
752,4933,606.0,A,150000.0,100.0,,,,,,,,,9.42,A,79.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,66.0,A,53789.0,A,3000.0,A,0.06,A,0.0,A,0.0,A,0.0,A,1.0,A,53789.0,,preferred,,606.0,A,150000.0,100.0,4615.0,Default
1657,6287,564.0,B,100000.0,50.0,547.0,C,35000.0,50.0,,,,,1.45,B,8.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,555.0,B,100000.0,100.0,5581.0,Paid in full
1736,6329,713.0,A,150000.0,100.0,,,,,,,,,21.64,A,80.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,10.5,R,164320.45,A,48517.7075,A,0.3,A,0.0,A,0.0,A,0.0,A,2.0,C,164320.45,,preferred,,713.0,A,150000.0,100.0,5603.0,Paid off with renewal
359,1722,549.0,C,35000.0,100.0,,,,,,,,,8.67,A,23.0,,Verified,A,N,,0.0,A,0.0,A,,,1.0,A,30.0,A,37771.0,A,8834.25,A,0.23,A,0.0,A,0.0,A,0.0,A,1.0,A,37771.0,,preferred,,549.0,C,35000.0,100.0,1694.0,Default
1656,6242,568.0,B,100000.0,100.0,,,,,,,,,3.42,A,86.0,,Verified,A,N,,0.0,A,0.0,A,,,0.14285714285714,A,19.714285714286,A,86904.428571429,A,19131.857142857,A,0.22,A,0.0,A,0.0,A,0.0,A,1.0,A,86904.428571429,,preferred,,568.0,B,100000.0,100.0,5521.0,Paid in full
1585,6440,506.0,C,35000.0,100.0,,,,,,,,,2.23,A,39.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,506.0,C,35000.0,100.0,5713.0,Paid in full
1385,3216,677.0,A,150000.0,100.0,,,,,,,,,11.51,A,,,Home,A,N,,0.0,A,0.0,A,,,0.5,A,35.75,A,92250.25,A,9163.98,A,0.1,A,0.0,A,0.0,A,0.0,A,0.0,A,92250.25,,preferred,,677.0,A,150000.0,100.0,3381.0,Default
990,6407,662.0,A,150000.0,100.0,,,,,,,,,4.04,A,5.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,662.0,A,150000.0,100.0,5659.0,Paid in full
524,4046,620.0,A,150000.0,100.0,,,,,,,,,1.23,B,47.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,620.0,A,150000.0,100.0,4052.0,Paid in full
1691,5956,747.0,A,150000.0,1000.0,,,,,,,,,17.04,A,18.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,747.0,A,150000.0,1000.0,5366.0,Paid in full
1162,1695,713.0,A,150000.0,100.0,,,,,,,,,3.08,A,80.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,34.666666666667,A,785371.0,A,127546.85,A,0.16,A,0.0,A,0.0,A,0.0,A,2.0,C,785371.0,,capped,,713.0,A,150000.0,100.0,633.0,Paid in full
1172,2609,542.0,C,35000.0,100.0,,,,,,,,,25.9,A,,,Home,A,N,,0.0,A,0.0,A,,,0.85714285714286,A,29.714285714286,A,81253.714285714,A,6892.5714285714,A,0.08,A,0.0,A,0.0,A,0.0,A,1.0,A,81253.714285714,,preferred,,542.0,C,35000.0,100.0,2724.0,Paid in full
909,5150,684.0,A,150000.0,100.0,,,,,,,,,9.76,A,19.0,,Verified,A,N,,0.0,A,0.0,A,,,1.25,B,44.25,A,25058.165,A,879.75,D,0.04,A,0.0,A,0.0,A,0.0,A,0.0,A,25058.165,,preferred,,684.0,A,150000.0,100.0,4755.0,Paid in full
980,6118,502.0,C,35000.0,100.0,,,,,,,,,9.17,A,5.0,,Verified,A,N,,0.0,A,0.0,A,,,1.5,B,35.25,A,24178.315,A,1701.75,A,0.07,A,0.0,A,0.0,A,0.0,A,1.0,A,24178.315,,preferred,,502.0,C,35000.0,100.0,5452.0,Paid in full
643,4553,712.0,A,150000.0,100.0,,,,,,,,,28.91,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,50.0,A,45533.6725,A,5000.0,A,0.11,A,0.0,A,0.0,A,0.0,A,1.0,A,45533.6725,,preferred,,712.0,A,150000.0,100.0,4431.0,Paid off with renewal
601,3232,643.0,A,150000.0,100.0,,,,,,,,,13.55,A,51.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,15.0,A,47185.25,A,7635.5,A,0.16,A,0.0,A,0.0,A,0.0,A,2.0,C,47185.25,,preferred,,643.0,A,150000.0,100.0,3392.0,Default
1858,8869,704.0,A,150000.0,100.0,,,,,,,,,3.11,A,31.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,C,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,704.0,A,150000.0,100.0,7526.0,Paid in full
1216,3442,619.0,A,150000.0,100.0,,,,,,,,,1.36,B,,,Home,A,N,,0.0,A,0.0,A,,,0.66666666666667,A,8.3333333333333,R,23603.333333333,A,1760.7066666667,A,0.07,A,0.0,A,0.0,A,0.0,A,0.0,A,23603.333333333,,preferred,,619.0,A,150000.0,100.0,3593.0,Default
248,1111,634.0,A,150000.0,100.0,,,,,,,,,6.8,A,86.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,1.6666666666667,R,22445.0,A,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,1.0,A,22445.0,,capped,,634.0,A,150000.0,100.0,765.0,Paid off with renewal
1755,7633,591.0,B,100000.0,100.0,,,,,,,,,4.15,A,86.0,,Verified,A,N,,0.0,A,0.0,A,,,6.4545454545455,D,5.0,C,86255.363636364,A,24108.454545455,A,0.28,A,0.0,A,0.0,A,0.0,A,0.0,A,86255.363636364,,standard,,591.0,B,100000.0,100.0,6445.0,Paid in full
1820,8125,730.0,A,150000.0,100.0,,,,,,,,,2.29,A,74.0,,Home,A,N,,0.0,A,0.0,A,,,0.33333333333333,A,70.0,A,2291481.0,A,218279.33333333,A,0.1,A,0.0,A,0.0,A,0.0,A,0.0,A,2291481.0,,capped,,730.0,A,150000.0,100.0,6974.0,Paid in full
318,1770,674.0,A,150000.0,100.0,,,,,,,,,0.69,C,53.0,,Verified,A,N,,0.0,A,0.0,A,,,0.2,A,201.0,A,113396.4,A,5479.4,A,0.05,A,0.0,A,0.0,A,0.0,A,1.0,A,113396.4,,preferred,,674.0,A,150000.0,100.0,1807.0,Paid off with renewal
95,275,652.0,A,150000.0,100.0,,,,,,,,,4.73,A,,,Verified,,N,,0.0,A,0.0,A,,,0.85714285714286,A,0.0,R,289466.85857143,A,26000.0,A,0.09,A,0.0,A,0.0,A,0.0,A,2.0,C,289466.85857143,,preferred,,652.0,A,150000.0,100.0,201.0,Default
217,1108,634.0,A,150000.0,100.0,,,,,,,,,6.8,A,86.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,1.6666666666667,R,22445.0,A,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,1.0,A,22445.0,,preferred,,634.0,A,150000.0,100.0,765.0,Paid off with renewal
1934,9895,645.0,B,100000.0,100.0,,,,,,,,,5.78,A,56.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,75.625,A,245861.5,A,18755.125,A,0.08,A,0.0,A,0.0,A,0.0,A,1.0,A,245861.5,,preferred,,645.0,B,100000.0,100.0,7602.0,Paid off with renewal
598,3125,649.0,A,150000.0,100.0,,,,,,,,,18.93,A,70.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,11.5,A,53664.67,A,11488.5,A,0.21,A,0.0,A,0.0,A,0.0,A,1.0,A,53664.67,,preferred,,649.0,A,150000.0,100.0,3266.0,Paid in full
1787,7123,606.0,A,150000.0,100.0,,,,,,,,,4.43,A,79.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,66.75,A,54014.945,A,1396.4575,A,0.03,A,0.0,A,0.0,A,0.0,A,1.0,A,54014.945,,preferred,,606.0,A,150000.0,100.0,4615.0,Default
372,1760,650.0,A,150000.0,100.0,,,,,,,,,8.67,A,23.0,,Verified,A,N,,0.0,A,0.0,A,,,1.0,A,30.0,A,37771.0,A,8834.25,A,0.23,A,0.0,A,0.0,A,0.0,A,1.0,A,37771.0,,preferred,,650.0,A,150000.0,100.0,1694.0,Default
1050,6743,517.0,C,35000.0,100.0,,,,,,,,,39.36,A,74.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,517.0,C,35000.0,100.0,5998.0,Paid in full
744,4804,600.0,A,150000.0,51.0,647.0,A,150000.0,49.0,,,,,4.82,A,,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,58165.0,A,2500.0,A,0.04,A,0.0,A,0.0,A,0.0,A,1.0,A,58165.0,,preferred,,623.0,A,150000.0,100.0,4443.0,Default
1181,3777,539.0,C,35000.0,100.0,,,,,,,,,4.53,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,539.0,C,35000.0,100.0,3856.0,Default
1534,4869,609.0,A,150000.0,100.0,,,,,,,,,4.95,A,4.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,609.0,A,150000.0,100.0,4618.0,Paid in full
1200,2727,663.0,A,150000.0,100.0,,,,,,,,,1.68,B,85.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,663.0,A,150000.0,100.0,2858.0,Paid in full
731,5163,612.0,A,150000.0,100.0,,,,,,,,,16.59,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,612.0,A,150000.0,100.0,4782.0,Default
211,953,646.0,A,150000.0,100.0,,,,,,,,,11.79,A,,,Verified,A,N,,0.0,A,0.0,A,,,0.66666666666667,A,19.666666666667,A,33617.333333333,A,1972.3333333333,A,0.06,A,0.0,A,0.0,A,0.0,A,1.0,A,33617.333333333,,preferred,,646.0,A,150000.0,100.0,870.0,Default
191,721,620.0,A,150000.0,100.0,,,,,,,,,109.24,A,,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,26.0,A,277388.564,A,7000.0,A,0.03,A,0.0,A,0.0,A,0.0,A,2.0,C,277388.564,,preferred,,620.0,A,150000.0,100.0,576.0,Paid in full
952,6723,683.0,A,150000.0,100.0,,,,,,,,,11.81,A,89.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,683.0,A,150000.0,100.0,5981.0,Paid off with renewal
1179,3563,549.0,C,35000.0,100.0,,,,,,,,,5.94,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,549.0,C,35000.0,100.0,3666.0,Paid in full
101,505,632.0,A,150000.0,50.0,669.0,A,150000.0,50.0,,,,,8.5,A,31.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,6.75,R,33005.0975,A,6198.4175,A,0.19,A,0.0,A,0.0,A,0.0,A,0.0,A,33005.0975,,capped,,650.0,A,150000.0,100.0,203.0,Paid in full
60,408,586.0,B,100000.0,100.0,,,,,,,,,4.11,A,4.0,,Verified,A,N,,0.0,A,0.0,A,,,0.6,A,5.4,R,112759.8,A,63689.0,A,0.56,A,0.0,A,0.0,A,0.0,A,1.0,A,112759.8,,preferred,,586.0,B,100000.0,100.0,324.0,Paid in full
1845,7496,549.0,C,35000.0,100.0,,,,,,,,,4.07,A,18.0,,Unknown,,N,,0.0,A,0.0,A,,,0.0,A,0.0,C,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,549.0,C,35000.0,100.0,6536.0,Default
1766,7555,691.0,A,150000.0,100.0,,,,,,,,,4.36,A,73.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,80.0,A,91464.666666667,A,13682.833333333,A,0.15,A,0.0,A,0.0,A,0.0,A,1.0,A,91464.666666667,,preferred,,691.0,A,150000.0,100.0,6407.0,Paid in full
613,4512,505.0,C,35000.0,100.0,,,,,,,,,6.98,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,1.0,A,23.75,A,103631.675,A,5852.5125,A,0.06,A,0.0,A,0.0,A,0.0,A,2.0,C,103631.675,,preferred,,505.0,C,35000.0,100.0,4468.0,Default
633,4180,544.0,C,35000.0,100.0,,,,,,,,,1.49,B,6.0,,Verified,A,N,,0.0,A,0.0,A,,,1.5,B,30.0,A,16709.25,A,980.25,D,0.06,A,0.0,A,0.0,A,0.0,A,2.0,C,16709.25,,preferred,,544.0,C,35000.0,100.0,4165.0,Default
1686,5776,658.0,A,150000.0,100.0,,,,,,,,,12.1,A,4.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,12.666666666667,A,14649.736666667,A,1145.4866666667,A,0.08,A,0.0,A,0.0,A,0.0,A,0.0,A,14649.736666667,,preferred,,658.0,A,150000.0,100.0,5215.0,Paid in full
29,153,620.0,A,150000.0,0.0,,,,0.0,,,,0.0,8.13,A,,,Home,,N,,0.0,A,0.0,A,,,0.0,A,73.25,A,130551.27,A,27761.0,A,0.21,A,0.0,A,0.0,A,0.0,A,2.0,C,130551.27,,preferred,,,,,,153.0,Paid off with renewal
1333,3154,650.0,A,150000.0,100.0,,,,,,,,,5.76,A,40.0,,Verified,A,N,,0.0,A,0.0,A,,,2.125,C,10.125,R,40528.75,A,5029.375,A,0.12,A,0.0,A,0.0,A,0.0,A,0.0,A,40528.75,,preferred,,650.0,A,150000.0,100.0,3286.0,Paid in full
143,699,612.0,A,150000.0,100.0,,,,,,,,,6.02,A,80.0,,Home,A,N,,0.0,A,0.0,A,,,0.33333333333333,A,23.333333333333,A,67252.676666667,A,12688.333333333,A,0.19,A,0.0,A,0.0,A,0.0,A,2.0,C,67252.676666667,,preferred,,612.0,A,150000.0,100.0,569.0,Paid in full
1500,3807,600.0,A,150000.0,100.0,,,,,,,,,11.37,A,75.0,,,,N,,0.0,A,0.0,A,,,1.6666666666667,B,81.222222222222,A,135836.44444444,A,16430.172222222,A,0.12,A,0.0,A,0.0,A,0.0,A,1.0,A,135836.44444444,,,,600.0,A,150000.0,100.0,88.0,Paid in full
1158,2436,568.0,B,100000.0,50.0,,,,50.0,,,,,7.88,A,65.0,,Verified,A,N,,0.0,A,0.0,A,,,2.3333333333333,C,45.0,A,32970.666666667,A,1649.6666666667,A,0.05,A,0.0,A,0.0,A,0.0,A,0.0,A,32970.666666667,,preferred,,568.0,B,100000.0,50.0,2546.0,Paid off with renewal
695,3784,585.0,B,100000.0,100.0,,,,,,,,,12.24,A,1.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,585.0,B,100000.0,100.0,3870.0,Paid in full
564,3369,688.0,A,150000.0,100.0,,,,,,,,,11.94,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,688.0,A,150000.0,100.0,3521.0,Default
1968,10799,621.0,B,100000.0,100.0,,,,,,,,,6.17,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,C,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,621.0,B,100000.0,100.0,8844.0,Paid in full
1490,4753,519.0,C,35000.0,100.0,,,,,,,,,0.98,C,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,519.0,C,35000.0,100.0,4604.0,Paid in full
287,1410,595.0,B,100000.0,100.0,,,,,,,,,5.7,A,24.0,,Home,A,N,,0.0,A,0.0,A,,,1.75,B,38.75,A,14581.0,A,572.7975,D,0.04,A,0.0,A,0.0,A,0.0,A,1.0,A,14581.0,,preferred,,595.0,B,100000.0,100.0,1371.0,Default
1443,3792,498.0,D,0.0,100.0,,,,,,,,,26.96,A,54.0,,Verified,A,N,,0.0,A,0.0,A,,,0.5,A,27.25,A,41224.25,A,9573.08,A,0.23,A,0.0,A,0.0,A,0.0,A,0.0,A,41224.25,,preferred,,498.0,D,0.0,100.0,3876.0,Paid off with renewal
1682,5536,479.0,D,0.0,50.0,,,,,,,,,3.58,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,479.0,D,0.0,50.0,5028.0,Paid in full
24,108,650.0,A,150000.0,0.0,650.0,A,150000.0,0.0,,,,0.0,31.31,A,,,,,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,,,0.0,,,,,,,,138.0,Paid in full
277,1297,564.0,B,100000.0,100.0,,,,,,,,,7.72,A,35.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,28.666666666667,A,88215.666666667,A,10655.093333333,A,0.12,A,0.0,A,0.0,A,0.0,A,1.0,A,88215.666666667,,preferred,,564.0,B,100000.0,100.0,1236.0,Paid off with renewal
1935,9972,696.0,A,150000.0,100.0,,,,,,,,,11.24,A,89.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,C,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,696.0,A,150000.0,100.0,8279.0,Paid in full
307,1697,645.0,A,150000.0,50.0,452.0,D,0.0,50.0,,,,,2.51,A,55.0,,Verified,A,N,,0.0,A,0.0,A,,,1.5,B,45.5,A,104422.75,A,15640.75,A,0.15,A,0.0,A,0.0,A,0.0,A,1.0,A,104422.75,,preferred,,548.0,C,35000.0,100.0,1711.0,Default
